,fM3Trans,fAsym,fConc,fDist,fM3Long,fSize,fWidth,fLength,fAlpha
18152,-3.9904,-16.4698,0.6648,61.0713,2.5094,2.3509,10.5625,15.688,79.2518
2571,-4.4196,32.5576,0.2676,94.1792,23.0425,3.0185,19.0266,34.5402,7.7249
12202,-12.2608,-2.9857,0.1816,236.924,64.5494,3.7383,23.1362,67.855,2.6347
4508,-9.9991,13.7202,0.6737,197.584,22.7735,2.4158,10.3156,29.3304,5.0486
14903,7.8355,14.7015,0.5686,123.84,-4.5808,2.3901,10.5625,13.0051,82.153
11421,13.5827,6.6005,0.4161,142.248,28.2246,2.5283,14.9097,34.6358,43.7754
8240,8.9408,10.7882,0.6008,97.1281,-13.2483,2.5455,11.7212,22.8962,53.1794
4741,10.4674,-14.0036,0.7631,47.5687,1.2252,2.1599,11.4618,13.0051,18.056
14292,44.8997,-171.137,0.2491,307.891,-150.795,3.0924,56.9442,137.267,76.291
3116,-5.3309,48.0017,0.4505,153.025,18.6435,2.4893,12.4292,32.8254,37.5625
18667,74.6771,-145.2984,0.0869,336.6687,-183.9074,4.6492,88.3026,187.586,76.1383
14601,-16.6041,-15.8315,0.3886,233.331,46.9569,2.8011,26.6064,52.8873,4.232
4413,-10.3177,8.4025,0.157,190.618,43.9203,3.3893,24.1328,121.021,60.3097
17733,-13.711,-34.8754,0.3771,109.0673,-17.5153,2.7926,23.1362,36.6353,56.157
9386,11.4796,15.2463,0.7186,248.427,-14.8064,2.3909,11.6572,16.8922,39.1318
7715,7.8892,-14.1057,0.2736,248.103,-22.7481,3.0185,16.1482,43.8486,38.164
7423,-23.5879,59.6288,0.1924,246.387,61.1027,3.3005,29.4361,78.4363,5.1947
5880,9.7299,34.7172,0.4045,155.237,20.8792,2.7255,16.1387,31.5068,10.896
4166,-10.852,-13.0871,0.4177,122.292,-11.4526,2.7701,18.8589,25.3258,9.8102
14733,12.9955,25.0356,0.4702,173.7519,15.8398,2.3191,13.4835,22.793,9.7549
17982,13.1476,-93.5671,0.2864,276.7126,-56.679,2.8848,27.935,107.7974,13.2274
14970,-16.8529,28.6697,0.1339,211.489,54.0125,3.684,26.2025,67.855,8.2019
17648,-60.4727,-158.202,0.1891,240.98,-110.008,3.5938,105.1574,166.518,86.5559
14597,17.9548,-18.555,0.1148,91.3089,-15.9421,3.6464,36.1413,26.591,53.79
593,-5.4224,3.5491,0.7509,137.714,5.4024,2.3345,7.1029,16.559,6.736
9078,15.7351,3.7852,0.1958,159.512,29.0293,3.2503,20.4109,34.6492,34.9593
16392,-127.11,-128.974,0.156,282.717,-126.462,3.3614,173.982,147.9936,7.1492
2049,5.6543,18.6779,0.3083,256.718,44.0177,2.9151,17.6439,65.0492,2.038
15306,-9.0594,-6.1041,0.3055,197.0325,-22.4582,2.5259,10.5145,29.7932,80.8572
12007,-4.253,8.6762,0.3209,194.105,16.7758,2.6508,15.0884,27.3546,13.653
5380,15.7883,11.5399,0.2278,250.684,66.6867,3.3442,28.2821,90.239,1.068
5987,-5.585,-3.3175,0.7435,249.867,10.1589,2.0774,7.2769,18.336,18.4008
1832,-6.8911,31.5284,0.4848,107.627,15.4992,2.4158,12.9384,27.3906,4.909
10812,-17.7679,51.2458,0.1587,354.993,61.8305,3.9353,31.3935,81.638,8.538
12122,2.8756,25.2834,0.4631,292.171,-20.8908,2.7627,11.3751,38.909,0.7669
3321,-7.7148,-16.0961,0.6957,139.723,15.5476,2.3971,12.7312,19.8196,3.2782
13669,10.5661,13.5464,0.7768,189.665,18.2394,2.2405,7.2769,21.4159,3.9266
2515,-20.4098,55.8155,0.1936,266.43,63.4685,3.3018,25.4668,71.9732,1.419
16633,-13.0225,3.7186,0.3233,195.5377,5.5436,2.7271,14.5846,15.0563,48.9157
8085,-11.4329,-26.2384,0.3144,125.036,-19.4625,2.8096,18.898,32.4042,15.103
6510,5.24,22.0709,0.7704,98.7046,13.385,2.3021,7.4484,18.337,42.5147
13425,-8.8425,8.9559,0.5658,217.2301,-6.9094,2.3874,10.9525,18.9583,83.5983
5991,21.2982,7.853,0.2086,274.627,55.7717,3.5456,31.8033,77.3151,1.8909
2545,6.7577,68.7619,0.19,205.866,44.9656,3.2658,13.8909,65.6318,5.048
16828,4.1055,25.6393,0.5873,171.561,6.564,2.4728,11.7966,18.317,30.7311
8942,11.1629,15.54,0.7064,198.666,-2.8936,2.2148,10.3094,13.054,21.769
11539,13.6775,1.7939,0.4488,122.932,21.1498,2.5099,14.9097,27.6633,16.634
1885,9.4229,-25.2803,0.4199,231.062,19.0625,2.586,14.9003,24.388,6.582
11435,11.3353,1.7892,0.4759,127.306,17.5152,2.4935,16.2279,21.6732,22.004
3870,22.272,-74.9101,0.2016,277.917,36.0533,2.9125,24.1278,68.222,5.396
16522,11.4796,-102.457,0.3159,123.176,85.8494,2.8903,16.6392,85.0151,2.3661
12055,-11.6938,18.8599,0.2978,253.426,33.7819,2.7551,19.5924,43.4412,10.225
5211,-5.5409,-25.2885,0.2844,112.79,10.0746,2.74,13.453,34.5402,6.902
18041,47.9449,48.8325,0.0542,317.071,107.078,4.1437,51.8306,143.3763,8.0786
5370,-3.4017,21.0554,0.376,187.48,53.0133,2.9671,20.2556,57.8733,44.7503
11035,9.4113,24.4317,0.4417,155.149,15.9289,2.49,12.3499,23.4266,17.16
15619,-31.0971,63.7622,0.2884,263.4252,95.1321,3.3153,38.9439,103.7022,8.889
1416,-16.1827,23.7771,0.3308,141.225,36.9873,2.905,20.2556,38.9602,3.7694
13540,-8.2224,25.5437,0.567,246.0085,13.2407,2.238,12.5002,21.0846,44.9107
1586,-9.3692,-29.9256,0.4515,207.403,28.7091,2.7697,13.8336,36.8508,8.538
9521,-10.5266,59.3259,0.2292,241.017,61.3155,3.261,21.5689,71.9732,29.901
3081,11.0489,-99.0799,0.2956,263.512,-53.2844,2.7616,11.979,81.3975,22.7735
15182,-7.5035,20.7825,0.2056,125.8379,33.9747,3.0206,16.1697,46.2918,43.301
2641,-21.3901,-77.4339,0.1703,381.607,80.3109,3.801,30.1811,84.7453,1.419
