,fM3Trans,fAsym,fConc,fDist,fM3Long,fSize,fWidth,fLength,fAlpha
18152,-3.9904,-16.4698,0.6648,61.0713,-16.3824,2.2672,10.4472,19.7315,15.103
2571,-4.4196,32.5576,0.2676,94.1792,27.947,2.7796,19.0266,36.9766,18.736
12202,-12.2608,-2.9857,0.1816,236.924,62.9735,3.6193,29.453,83.8945,4.669
4508,-9.9991,13.7202,0.6737,197.584,17.084,2.2398,10.6854,21.3781,56.616
14903,7.8355,14.7015,0.5686,123.84,18.6448,2.4298,10.3156,22.8962,15.92
11421,13.5827,6.6005,0.4161,142.248,16.852,2.5283,14.9097,23.64,66.0914
8240,8.9408,10.7882,0.6008,97.1281,17.4528,2.4296,12.7312,21.7555,15.547
4741,10.4674,-14.0036,0.7631,47.5687,-3.7598,2.0434,11.4618,12.0413,17.031
14292,44.8997,-171.137,0.2491,307.891,-158.162,3.2061,53.1446,164.5773,65.3193
3116,-5.3309,48.0017,0.4505,153.025,19.8767,2.4949,10.4472,42.5919,22.2377
18667,74.6771,-145.2984,0.0869,336.6687,-174.4185,4.1592,99.0565,179.8715,77.781
14601,-16.6041,-15.8315,0.3886,233.331,-11.6992,2.6522,20.2437,25.4768,6.582
4413,-10.3177,8.4025,0.157,190.618,18.9573,3.0013,22.0162,33.954,5.1947
17733,-13.711,-34.8754,0.3771,109.0673,-22.7481,2.5224,23.6799,29.273,41.5633
9386,11.4796,15.2463,0.7186,248.427,-13.7991,2.2889,9.9143,19.2855,59.091
7715,7.8892,-14.1057,0.2736,248.103,-16.419,2.8639,15.5154,21.0846,33.725
7423,-23.5879,59.6288,0.1924,246.387,29.0293,3.153,33.3488,64.3675,8.538
5880,9.7299,34.7172,0.4045,155.237,24.3176,2.5092,14.9526,34.1731,19.335
4166,-10.852,-13.0871,0.4177,122.292,-18.9923,2.4108,10.5832,29.2813,58.5095
14733,12.9955,25.0356,0.4702,173.7519,20.4481,2.9009,12.5353,61.1136,56.553
17982,13.1476,-93.5671,0.2864,276.7126,-32.1195,2.9009,27.935,61.6586,45.2398
14970,-16.8529,28.6697,0.1339,211.489,66.9716,3.9381,31.8033,76.9149,46.2043
17648,-60.4727,-158.202,0.1891,240.98,-144.197,3.2107,64.5654,156.55,2.076
14597,17.9548,-18.555,0.1148,91.3089,10.0746,3.3005,23.4636,24.7731,58.5095
593,-5.4224,3.5491,0.7509,137.714,-1.9289,2.2889,7.3964,18.336,11.423
9078,15.7351,3.7852,0.1958,159.512,-11.8603,3.0271,27.8077,35.6953,23.934
