,fM3Trans,fAsym,fConc,fDist,fM3Long,fSize,fWidth,fLength,fAlpha
18152,-3.9904,-16.4698,0.6648,61.0713,-8.8087,2.3284,8.7048,20.061,18.736
2571,-4.4196,32.5576,0.2676,94.1792,20.1895,3.0185,20.8049,33.3522,14.19
12202,-12.2608,-2.9857,0.1816,236.924,58.5706,3.1908,25.8986,77.0789,6.8425
4508,-9.9991,13.7202,0.6737,197.584,10.9046,2.3355,11.9321,19.7221,9.132
14903,7.8355,14.7015,0.5686,123.84,13.6412,2.4298,10.9243,20.1664,56.616
11421,13.5827,6.6005,0.4161,142.248,18.1267,2.6069,18.3853,30.8219,29.901
8240,8.9408,10.7882,0.6008,97.1281,17.5152,2.3883,12.7012,21.462,14.19
4741,10.4674,-14.0036,0.7631,47.5687,-3.7598,2.0473,11.4618,12.0413,17.031
14292,44.8997,-171.137,0.2491,307.891,-181.098,3.4649,56.6027,187.904,4.909
3116,-5.3309,48.0017,0.4505,153.025,32.7802,2.4558,9.6807,46.6248,20.6373
18667,74.6771,-145.2984,0.0869,336.6687,-174.4185,4.1165,83.9576,179.8715,48.245
14601,-16.6041,-15.8315,0.3886,233.331,19.9198,2.8987,28.0342,32.2804,4.232
4413,-10.3177,8.4025,0.157,190.618,22.7429,3.3595,28.3828,40.0276,18.0434
17733,-13.711,-34.8754,0.3771,109.0673,-16.3279,2.6279,18.1143,31.5877,48.1747
9386,11.4796,15.2463,0.7186,248.427,-16.0054,2.3997,10.88,23.6155,39.441
7715,7.8892,-14.1057,0.2736,248.103,11.9279,2.7447,12.4646,25.1194,48.4901
7423,-23.5879,59.6288,0.1924,246.387,57.688,3.2089,31.8033,63.805,7.2265
5880,9.7299,34.7172,0.4045,155.237,21.0419,2.5798,16.4293,25.16,13.592
4166,-10.852,-13.0871,0.4177,122.292,-16.0054,2.4594,12.507,24.5973,37.923
14733,12.9955,25.0356,0.4702,173.7519,21.0419,2.382,16.1532,27.5346,80.8572
17982,13.1476,-93.5671,0.2864,276.7126,-158.1627,3.684,47.0706,173.9607,66.1716
14970,-16.8529,28.6697,0.1339,211.489,60.7529,3.4851,38.2386,117.9271,34.9593
17648,-60.4727,-158.202,0.1891,240.98,-150.795,3.2107,77.1084,137.267,8.8
14597,17.9548,-18.555,0.1148,91.3089,43.4174,3.684,31.3727,75.4299,14.19
593,-5.4224,3.5491,0.7509,137.714,-7.0918,2.3086,7.4484,16.5794,3.2782
9078,15.7351,3.7852,0.1958,159.512,48.698,3.1908,28.0342,76.1909,18.3562
16392,-127.11,-128.974,0.156,282.717,157.8799,3.684,83.9226,173.9607,66.1754
2049,5.6543,18.6779,0.3083,256.718,22.6222,2.821,16.6085,36.369,3.2776
15306,-9.0594,-6.1041,0.3055,197.0325,-33.4992,2.7348,12.3502,34.5103,80.4307
12007,-4.253,8.6762,0.3209,194.105,22.6046,2.8011,14.1931,25.6878,1.668
5380,15.7883,11.5399,0.2278,250.684,37.5718,3.183,23.5687,52.8168,1.727
5987,-5.585,-3.3175,0.7435,249.867,6.4167,2.3312,7.3906,16.5264,77.0597
1832,-6.8911,31.5284,0.4848,107.627,15.8826,2.3551,12.871,26.8136,16.634
10812,-17.7679,51.2458,0.1587,354.993,45.0492,3.9353,38.2386,78.6847,2.8019
12122,2.8756,25.2834,0.4631,292.171,6.9172,2.6702,11.9321,29.9771,14.3231
3321,-7.7148,-16.0961,0.6957,139.723,6.564,2.2405,10.714,18.337,22.3975
13669,10.5661,13.5464,0.7768,189.665,12.8982,2.4815,8.5678,23.2702,44.921
2515,-20.4098,55.8155,0.1936,266.43,71.4978,3.261,31.8348,77.1196,5.5266
16633,-13.0225,3.7186,0.3233,195.5377,12.6605,2.8094,10.2339,18.7091,77.0349
8085,-11.4329,-26.2384,0.3144,125.036,34.1751,3.0015,19.0266,49.737,19.9366
6510,5.24,22.0709,0.7704,98.7046,-14.675,2.1222,7.0807,21.0846,66.0814
13425,-8.8425,8.9559,0.5658,217.2301,10.8837,2.4296,8.7048,18.0642,59.461
5991,21.2982,7.853,0.2086,274.627,58.5706,3.4746,31.6833,65.9296,3.1921
2545,6.7577,68.7619,0.19,205.866,58.0618,3.3153,21.96,70.5426,11.7406
16828,4.1055,25.6393,0.5873,171.561,4.8004,2.3646,7.3265,20.4359,46.2043
8942,11.1629,15.54,0.7064,198.666,4.8925,2.3509,10.693,13.054,59.415
11539,13.6775,1.7939,0.4488,122.932,-16.3824,2.7152,18.1143,28.0012,15.2636
1885,9.4229,-25.2803,0.4199,231.062,-16.419,2.3664,17.3704,26.074,1.6094
11435,11.3353,1.7892,0.4759,127.306,19.0913,2.4749,10.6824,27.6517,11.4165
3870,22.272,-74.9101,0.2016,277.917,38.5759,3.1836,26.2025,61.8313,4.457
16522,11.4796,-102.457,0.3159,123.176,48.376,2.9009,14.8567,76.6189,4.53
12055,-11.6938,18.8599,0.2978,253.426,33.6343,2.9572,14.998,54.7437,14.19
5211,-5.5409,-25.2885,0.2844,112.79,-27.0938,2.6787,12.4276,42.5919,80.4706
18041,47.9449,48.8325,0.0542,317.071,-97.2622,3.9353,42.3194,107.5882,21.7952
5370,-3.4017,21.0554,0.376,187.48,64.3496,2.9825,12.4907,64.7091,12.6972
11035,9.4113,24.4317,0.4417,155.149,19.256,2.5496,12.903,24.5973,12.6913
