,fM3Trans,fAsym,fConc,fDist,fM3Long,fSize,fWidth,fLength,fAlpha
18152,-3.9904,-16.4698,0.6648,61.0713,4.1109,2.3309,11.4797,16.8871,18.736
2571,-4.4196,32.5576,0.2676,94.1792,20.8792,2.934,17.89,31.5877,8.724
12202,-12.2608,-2.9857,0.1816,236.924,78.0387,3.684,29.4793,82.3239,5.5266
4508,-9.9991,13.7202,0.6737,197.584,-14.6593,2.3355,10.5755,21.0846,15.1147
14903,7.8355,14.7015,0.5686,123.84,18.1403,2.42,10.9001,20.3091,20.7634
11421,13.5827,6.6005,0.4161,142.248,20.5464,2.3962,18.3853,27.3178,25.809
8240,8.9408,10.7882,0.6008,97.1281,12.4181,2.3263,12.7312,18.6618,2.242
4741,10.4674,-14.0036,0.7631,47.5687,-3.2643,2.1688,11.4318,13.0051,58.504
14292,44.8997,-171.137,0.2491,307.891,58.0618,3.3252,59.2228,157.741,5.421
3116,-5.3309,48.0017,0.4505,153.025,35.5142,2.4713,10.4472,36.9446,2.0758
18667,74.6771,-145.2984,0.0869,336.6687,-154.289,4.1165,88.2878,179.8715,76.8384
14601,-16.6041,-15.8315,0.3886,233.331,15.8309,2.6128,23.1441,25.6468,8.5405
4413,-10.3177,8.4025,0.157,190.618,97.7039,3.5655,23.4817,87.4843,5.7357
17733,-13.711,-34.8754,0.3771,109.0673,-13.2169,2.6794,21.1799,24.1205,48.1747
9386,11.4796,15.2463,0.7186,248.427,9.0297,2.1717,11.9324,12.8462,4.207
7715,7.8892,-14.1057,0.2736,248.103,-29.3001,3.0569,17.6248,48.5138,41.279
7423,-23.5879,59.6288,0.1924,246.387,83.3217,3.4176,33.5384,81.2267,5.212
5880,9.7299,34.7172,0.4045,155.237,-18.1144,2.7447,16.9368,31.1555,17.5817
4166,-10.852,-13.0871,0.4177,122.292,11.4628,2.5283,10.5833,27.4623,20.371
14733,12.9955,25.0356,0.4702,173.7519,22.7735,2.6537,19.0266,29.3567,48.9159
17982,13.1476,-93.5671,0.2864,276.7126,-126.462,2.9965,23.6799,144.412,66.1754
14970,-16.8529,28.6697,0.1339,211.489,40.2106,3.3595,31.8033,51.2637,11.423
17648,-60.4727,-158.202,0.1891,240.98,126.2955,3.5087,105.1574,136.446,53.79
14597,17.9548,-18.555,0.1148,91.3089,-19.6917,3.2699,21.4301,36.6834,68.2545
593,-5.4224,3.5491,0.7509,137.714,18.1267,2.3385,7.4617,20.3091,73.5855
9078,15.7351,3.7852,0.1958,159.512,-34.0836,3.3456,29.923,49.2754,29.1685
16392,-127.11,-128.974,0.156,282.717,-158.1627,3.684,83.9576,173.9607,66.1754
2049,5.6543,18.6779,0.3083,256.718,29.2132,2.7447,16.2359,39.7162,56.553
15306,-9.0594,-6.1041,0.3055,197.0325,-2.7859,2.8218,22.8423,40.6756,45.5122
12007,-4.253,8.6762,0.3209,194.105,36.9873,2.8876,12.903,44.5463,12.6913
5380,15.7883,11.5399,0.2278,250.684,21.3231,3.0924,22.8572,37.6554,3.427
5987,-5.585,-3.3175,0.7435,249.867,-4.5036,2.0434,7.3964,13.2301,67.4915
1832,-6.8911,31.5284,0.4848,107.627,22.7772,2.5658,12.9017,29.3567,7.9947
10812,-17.7679,51.2458,0.1587,354.993,87.9854,3.4305,33.5384,103.7022,3.481
12122,2.8756,25.2834,0.4631,292.171,42.7354,2.8903,10.9403,50.6311,3.6587
3321,-7.7148,-16.0961,0.6957,139.723,17.2019,2.4005,8.0127,21.8698,23.934
13669,10.5661,13.5464,0.7768,189.665,-2.8969,2.1527,11.5153,13.0051,14.3432
2515,-20.4098,55.8155,0.1936,266.43,42.7297,3.255,29.5407,60.5328,8.17
16633,-13.0225,3.7186,0.3233,195.5377,46.6113,2.8903,11.7922,57.8733,41.279
8085,-11.4329,-26.2384,0.3144,125.036,-17.5153,2.7551,16.6085,30.8021,37.168
