,fM3Trans,fAsym,fConc,fDist,fM3Long,fSize,fWidth,fLength,fAlpha
18152,-3.9904,-16.4698,0.6648,61.0713,-17.4874,2.3918,10.7672,23.1329,58.9232
2571,-4.4196,32.5576,0.2676,94.1792,23.321,3.0013,15.5966,33.1171,89.7028
12202,-12.2608,-2.9857,0.1816,236.924,66.72,3.5938,24.0908,86.9716,5.113
4508,-9.9991,13.7202,0.6737,197.584,11.9721,2.415,10.6649,19.4598,7.58
14903,7.8355,14.7015,0.5686,123.84,19.5585,2.3309,10.8997,19.3191,49.0605
11421,13.5827,6.6005,0.4161,142.248,15.9017,2.5658,14.58,27.6517,38.164
8240,8.9408,10.7882,0.6008,97.1281,-13.463,2.3444,10.4281,18.794,20.1948
4741,10.4674,-14.0036,0.7631,47.5687,4.9762,2.2148,10.355,13.0051,20.028
14292,44.8997,-171.137,0.2491,307.891,-181.098,3.2183,51.2485,187.904,53.7089
3116,-5.3309,48.0017,0.4505,153.025,18.6435,2.5259,12.0523,33.4507,21.817
18667,74.6771,-145.2984,0.0869,336.6687,-174.4185,4.1165,83.9576,179.8715,66.1754
14601,-16.6041,-15.8315,0.3886,233.331,13.4294,2.6248,23.4707,25.6878,5.048
4413,-10.3177,8.4025,0.157,190.618,39.8244,3.1971,20.2437,54.4773,61.973
17733,-13.711,-34.8754,0.3771,109.0673,-32.1735,2.5527,10.5755,36.6834,78.0385
9386,11.4796,15.2463,0.7186,248.427,4.2514,2.1761,10.8931,13.0095,77.258
7715,7.8892,-14.1057,0.2736,248.103,-28.6591,2.9582,19.2319,37.2863,8.5405
7423,-23.5879,59.6288,0.1924,246.387,25.7983,3.3252,25.1567,44.4396,5.212
5880,9.7299,34.7172,0.4045,155.237,22.6222,2.5185,16.1532,29.273,13.171
4166,-10.852,-13.0871,0.4177,122.292,-25.5998,2.5798,10.5065,30.811,72.786
14733,12.9955,25.0356,0.4702,173.7519,15.8398,2.4407,9.9406,25.6931,49.195
17982,13.1476,-93.5671,0.2864,276.7126,119.9977,3.2107,38.9439,114.12,60.3097
14970,-16.8529,28.6697,0.1339,211.489,20.6844,3.2699,26.2025,44.8602,44.732
17648,-60.4727,-158.202,0.1891,240.98,95.0725,3.7016,64.5654,91.8755,53.79
14597,17.9548,-18.555,0.1148,91.3089,75.6716,4.1805,77.1084,102.9,49.3005
593,-5.4224,3.5491,0.7509,137.714,-10.7301,2.0774,7.0231,12.3503,60.268
9078,15.7351,3.7852,0.1958,159.512,-34.0836,3.4298,26.1477,49.7299,9.8863
16392,-127.11,-128.974,0.156,282.717,126.766,3.5655,81.3581,136.446,47.14
2049,5.6543,18.6779,0.3083,256.718,20.1408,2.8222,16.6092,36.9446,4.4265
15306,-9.0594,-6.1041,0.3055,197.0325,-32.3376,3.044,25.7074,40.4803,80.4352
12007,-4.253,8.6762,0.3209,194.105,22.9679,2.5099,15.5154,34.6968,6.2452
5380,15.7883,11.5399,0.2278,250.684,36.2814,3.1999,21.5689,57.1905,6.1541
5987,-5.585,-3.3175,0.7435,249.867,8.2036,2.1599,7.3625,18.337,18.5295
1832,-6.8911,31.5284,0.4848,107.627,19.8767,2.5484,12.3502,32.3414,59.4506
10812,-17.7679,51.2458,0.1587,354.993,49.1044,3.7503,38.6759,92.1126,0.829
12122,2.8756,25.2834,0.4631,292.171,11.4826,2.5004,9.3392,27.8575,80.4307
3321,-7.7148,-16.0961,0.6957,139.723,4.9762,2.3021,7.273,20.8898,11.423
13669,10.5661,13.5464,0.7768,189.665,-2.8969,2.2148,10.7504,13.0095,58.5095
2515,-20.4098,55.8155,0.1936,266.43,46.1829,3.255,26.1477,57.6796,4.669
16633,-13.0225,3.7186,0.3233,195.5377,33.6343,2.8932,21.4301,35.4667,83.3564
8085,-11.4329,-26.2384,0.3144,125.036,-23.6503,2.6248,19.1617,32.2241,4.034
6510,5.24,22.0709,0.7704,98.7046,21.48,2.2819,7.0827,24.1417,48.4839
13425,-8.8425,8.9559,0.5658,217.2301,12.4181,2.3054,9.1517,18.9583,83.5983
5991,21.2982,7.853,0.2086,274.627,25.5307,3.3595,27.3232,44.4402,6.4886
2545,6.7577,68.7619,0.19,205.866,51.0997,3.3462,18.7657,62.0891,7.052
16828,4.1055,25.6393,0.5873,171.561,28.5104,2.567,12.8985,22.793,54.435
8942,11.1629,15.54,0.7064,198.666,9.7066,2.4298,11.7679,12.654,10.1245
11539,13.6775,1.7939,0.4488,122.932,22.6046,2.567,14.1931,25.6886,49.3005
1885,9.4229,-25.2803,0.4199,231.062,-22.7595,2.5453,14.4003,37.2093,0.94
11435,11.3353,1.7892,0.4759,127.306,-3.9545,2.5641,11.6747,26.6952,1.0915
3870,22.272,-74.9101,0.2016,277.917,37.1014,3.4283,25.6146,70.1479,3.44
16522,11.4796,-102.457,0.3159,123.176,87.9854,2.9509,16.9636,105.348,2.095
12055,-11.6938,18.8599,0.2978,253.426,22.0226,3.0943,23.1362,42.5823,4.232
5211,-5.5409,-25.2885,0.2844,112.79,-40.5452,2.7694,10.3005,42.5896,21.7952
18041,47.9449,48.8325,0.0542,317.071,-121.458,3.9353,51.9419,141.223,2.012
5370,-3.4017,21.0554,0.376,187.48,19.8759,2.5562,9.2718,36.4776,79.0118
11035,9.4113,24.4317,0.4417,155.149,19.9198,2.4298,16.1697,24.5566,15.901
15619,-31.0971,63.7622,0.2884,263.4252,37.9796,2.8011,34.9208,61.3494,87.619
1416,-16.1827,23.7771,0.3308,141.225,-28.1771,2.6289,21.1341,34.0096,19.356
13540,-8.2224,25.5437,0.567,246.0085,23.0425,2.4997,12.2071,32.5853,14.6597
1586,-9.3692,-29.9256,0.4515,207.403,-22.4582,2.5593,13.5002,28.0462,14.6597
9521,-10.5266,59.3259,0.2292,241.017,79.6719,3.1679,19.0992,93.3691,5.7949
3081,11.0489,-99.0799,0.2956,263.512,-54.2835,3.1561,19.7331,84.9009,1.415
15182,-7.5035,20.7825,0.2056,125.8379,60.7529,3.4572,11.5257,117.106,47.4624
2641,-21.3901,-77.4339,0.1703,381.607,-32.1195,3.3555,29.5407,73.0124,24.2006
385,11.3766,-1.0313,0.3371,196.962,36.8902,2.7462,17.5422,38.7558,14.19
5518,-14.7528,-81.6875,0.2936,188.461,11.6305,2.7497,23.9562,51.5363,21.1975
14904,10.3233,-45.0252,0.3535,182.448,-32.1735,2.6385,17.1474,42.5919,10.7626
12511,9.7395,-14.1025,0.7529,175.459,2.3052,2.4298,10.2339,13.1689,29.159
12496,18.1643,-40.5249,0.263,315.588,56.888,3.0159,26.406,70.1479,0.829
6648,3.9827,10.182,0.5556,116.047,-10.7301,2.4594,11.6747,19.2855,20.371
1985,9.6029,-128.872,0.1511,199.395,41.7787,3.3144,28.3828,110.367,3.906
6848,14.2623,29.591,0.4529,173.549,22.0225,2.3874,15.8354,29.5483,34.9593
14283,-36.0663,-6.4467,0.1596,40.7657,46.7544,3.2681,42.3194,87.2384,89.7659
14087,-3.7829,-14.7089,0.6494,140.2448,-9.835,2.3666,8.0127,21.4159,48.4901
11890,10.0215,7.7603,0.4523,40.2113,-18.2676,2.5792,12.3874,11.4628,49.195
18960,-19.695,-140.9462,0.2389,54.8511,55.7717,3.4703,59.7824,110.6346,50.6682
1471,-16.0488,-3.135,0.437,162.2,22.7772,2.5653,17.89,28.1121,21.0253
148,10.6797,28.2765,0.5923,136.651,-16.3871,2.49,9.7234,22.6255,16.2492
11663,-6.1923,23.1461,0.1736,257.193,55.2096,3.4581,33.3488,66.5198,8.538
4172,15.9506,80.4449,0.1385,228.349,69.9837,3.5201,29.6883,77.0789,11.476
4040,18.032,-92.0304,0.1694,269.253,63.7105,3.684,26.6064,83.8945,14.9592
17833,8.1397,-2.9891,0.3551,241.6005,1.2266,2.4594,12.543,15.1951,56.553
1057,-7.1838,58.8582,0.1469,179.803,34.0193,3.6902,27.9276,61.8313,2.0235
17918,1.4599,-5.8405,0.4797,126.1629,5.5003,2.3655,10.5601,16.2145,83.3564
11620,-16.1377,44.4752,0.2161,278.761,26.4652,3.3359,25.8986,47.985,8.17
1194,25.3238,18.1707,0.1125,173.38,53.2844,3.216,38.494,61.4698,14.155
2400,2.6469,-14.8853,0.3425,204.592,-20.2511,2.8235,17.8928,44.8602,2.125
4655,12.9198,-101.882,0.5623,238.875,10.9982,2.6395,13.9513,79.5649,2.023
4035,5.0304,45.8372,0.3574,205.412,37.9796,2.4401,12.4907,54.5251,10.896
17540,-18.1936,26.2155,0.3596,222.872,13.2176,2.567,21.6376,29.2209,51.0768
13977,-8.2839,-53.5094,0.2736,199.671,-32.1735,2.8597,13.0094,54.4528,0.267
9532,-14.9239,-95.9883,0.2568,241.618,75.94,2.9562,23.1441,87.033,7.052
1143,-9.4736,-45.9685,0.1943,337.885,59.5604,3.183,31.8033,69.4073,4.53
7513,-12.5216,8.7399,0.2786,49.4711,68.038,2.7789,15.4451,69.4073,22.0255
18017,57.2381,-10.2615,0.0439,354.4363,-181.0984,4.1805,87.0482,187.9041,8.5685
13708,-14.4452,71.932,0.3873,147.225,17.9294,2.527,14.7328,42.5896,19.356
7902,-8.7804,-1.6762,0.5265,131.568,5.9843,2.3309,10.9243,16.9771,53.7221
16705,5.8623,-4.1092,0.5177,144.1204,10.0746,2.3355,11.9659,31.8536,80.2955
759,-8.8082,37.1921,0.2771,194.185,41.3347,3.2107,22.5107,44.1925,14.9592
5464,-7.1287,27.244,0.6268,185.821,27.5274,2.4158,8.9937,30.8021,21.975
12932,24.9133,25.0551,0.2718,288.1879,28.7274,3.4816,29.1882,50.6311,17.5239
7603,0.0,6.806,0.738,68.3739,0.0,2.42,0.0,29.4713,0.0
3374,-6.5174,-93.2578,0.1722,270.21,46.6966,3.3285,27.935,107.5882,8.8829
17910,6.6876,51.8046,0.2638,78.8224,22.924,3.0466,17.6248,44.8602,10.262
18276,15.4853,-28.4715,0.339,181.371,-16.419,2.74,21.877,30.5069,22.3975
9975,-5.3946,10.977,0.3921,238.556,20.1374,2.9965,15.0286,24.3133,1.737
9613,11.3575,8.6408,0.5443,165.33,-14.9936,2.3655,10.5943,21.7075,3.6007
3521,-11.6604,-25.4291,0.3238,171.163,-24.3158,2.7789,14.6663,32.2804,27.5578
3243,-7.3818,-0.7853,0.5938,92.8949,-7.3054,2.4272,12.4933,22.1571,7.5845
16841,4.9946,79.9489,0.5647,167.128,46.0824,2.8597,10.5601,70.1479,2.8019
16585,15.8426,72.8068,0.3322,120.3123,53.2844,2.841,38.2386,76.6189,10.213
15235,8.1191,-27.2762,0.4806,195.525,-21.5856,2.4407,12.7981,29.2813,16.1763
18260,11.0517,45.5559,0.3374,239.511,57.1013,2.8837,18.8589,64.6465,0.206
17749,7.8975,18.9565,0.5366,181.7789,30.1982,2.5403,11.3751,36.6834,16.2492
13526,-22.3954,-43.4277,0.2652,200.796,-25.5998,2.7585,24.555,37.6758,0.4547
4152,19.6189,52.4041,0.238,126.571,25.3813,3.183,27.4586,47.9518,5.2981
13305,-82.2478,-30.272,0.1541,171.7382,-181.098,3.2183,83.9226,187.586,66.1754
14756,-46.5113,66.553,0.0584,134.832,54.2326,3.5655,71.5243,109.86,8.538
11058,20.0531,-28.0846,0.2918,312.446,-72.1374,3.3442,29.7032,65.9296,6.0049
888,-13.12,-4.5987,0.1309,72.582,73.6068,3.0185,20.0706,77.2949,11.476
6043,-15.4309,-50.2587,0.3184,292.449,25.8125,2.8837,19.6211,41.7541,2.0919
5916,33.7141,-134.26,0.2188,345.521,-150.795,3.684,56.7521,153.344,72.2872
7735,-20.4546,64.454,0.1421,261.179,49.9465,3.3005,26.8663,73.449,8.1473
2310,5.567,-36.0433,0.1672,325.697,103.6972,3.3191,29.923,103.7022,28.8291
16300,-13.5594,-77.7625,0.3958,342.053,86.4079,3.0958,35.2466,87.4239,3.5732
16253,5.9391,25.2819,0.367,265.7389,24.3176,2.8684,10.4472,22.1614,7.5845
4487,17.0315,8.3139,0.2991,220.931,33.7819,3.0348,21.7627,47.8669,4.755
15504,-18.8752,13.7372,0.2321,204.824,20.1895,3.2174,34.9208,42.5896,17.3965
13330,-3.0781,24.5922,0.5615,67.9618,18.2349,2.3803,10.5145,20.7885,54.6396
11946,3.9586,-16.7901,0.405,192.161,-21.7391,2.74,15.246,29.279,41.3475
17842,-7.181,44.6591,0.4778,206.231,23.2029,2.2553,10.1021,27.8821,8.5405
16259,75.1959,11.1289,0.1251,328.8961,57.6991,3.255,71.5243,124.8245,66.1754
16778,29.925,14.4814,0.2652,373.8893,97.7039,3.2183,34.869,87.9125,6.4844
4197,-13.9255,-70.3242,0.3165,256.883,66.8235,2.8096,18.2065,68.222,8.2019
9990,-13.1869,66.4239,0.2178,300.69,38.5759,3.0145,24.0908,71.9672,4.4265
16983,-15.869,7.5798,0.2833,133.881,19.9198,3.0101,20.1572,31.5068,22.2377
431,-18.7103,6.9242,0.2667,162.335,-23.2837,2.7493,20.2912,32.2241,12.6972
9851,-2.6572,22.4953,0.278,201.515,22.4112,2.9307,17.6248,41.5858,0.0339
13243,85.3448,-37.2418,0.116,302.999,-161.9227,3.2183,88.2878,179.8715,4.6337
11674,-23.1977,64.4961,0.1311,182.689,64.5494,3.4581,27.9276,64.3675,19.7216
8328,-10.0031,12.261,0.2637,95.863,20.8844,2.7152,18.1608,31.5154,45.5122
1657,4.9216,19.1143,0.2263,252.168,26.6549,2.9125,20.2437,37.7923,18.4008
10705,10.2099,40.5613,0.4409,122.346,16.6283,2.4637,12.2639,22.2363,56.5669
413,7.7899,60.5019,0.3217,122.613,26.5791,2.6064,12.9881,44.1925,16.1763
13892,9.5871,35.4725,0.4592,203.537,20.7647,2.5092,10.9403,33.7556,2.038
8175,3.0901,1.5677,0.4775,105.52,-17.2267,2.3284,9.7234,21.2198,49.2261
1050,7.7526,15.6373,0.7066,174.136,-10.7301,2.1599,11.5967,12.3503,1.7809
16,11.3256,-4.7746,0.2865,191.455,20.8792,3.0101,19.981,31.5068,2.267
18963,3.9065,2.9885,0.4077,238.214,-17.5153,2.7664,10.5625,38.7116,41.1069
11366,-12.0902,45.2689,0.2799,283.211,91.9232,3.1798,19.7212,92.0007,2.012
4897,23.1442,-31.276,0.2606,300.035,58.0618,3.0527,37.5314,65.9396,1.423
8940,4.6985,1.8017,0.5587,94.9036,-18.1403,2.3847,11.7929,25.16,72.786
15902,9.4337,-51.9364,0.325,366.3433,-22.7664,2.7348,21.3805,116.2639,53.7318
14614,-59.6544,-131.978,0.1118,300.036,-175.214,3.4637,83.7406,190.339,71.9141
13212,33.9156,86.4579,0.1968,213.4696,-62.6945,3.3406,35.2466,86.9716,53.7089
15436,-6.4531,86.5018,0.5695,125.601,46.6113,2.3883,9.3392,57.8733,32.7666
17449,7.3248,38.6563,0.3978,196.192,30.5255,2.5527,12.4933,36.3425,5.7595
16864,4.4002,6.1961,0.5502,229.118,18.324,2.4298,10.4472,20.8126,4.7061
821,11.8166,-14.9342,0.7593,218.84,-6.2386,2.1222,10.2339,13.0051,63.8003
7441,-2.1569,3.5753,0.636,190.704,11.9721,2.3444,9.174,16.559,20.2025
15868,-25.5589,92.5337,0.1505,60.374,55.0795,3.4572,30.9255,81.2267,21.7952
18104,9.6703,-20.901,0.4223,204.87,-15.7568,2.5593,12.8985,27.4519,4.232
2676,-9.8572,18.4146,0.3526,222.612,20.4481,2.5988,16.903,25.7563,8.2019
17005,73.154,-213.901,0.2274,256.439,-161.9227,3.3893,83.9226,180.1338,47.0808
2525,9.2773,-18.2012,0.4069,38.5349,-44.2358,2.9914,27.7213,78.6741,3.4588
3249,-6.4183,14.8025,0.4469,167.598,20.8792,2.7701,11.5868,31.5154,31.3026
17758,18.4183,-80.7482,0.2895,258.577,58.8619,3.3406,33.6521,77.0789,4.387
1426,20.7366,-57.1064,0.2265,270.904,57.1013,3.2503,25.6146,64.4932,5.212
11756,-24.0202,-36.6549,0.3015,323.495,66.8435,3.1209,30.2821,86.053,2.2101
5499,7.4962,-34.4592,0.6695,152.483,-19.9497,2.4579,11.37,33.648,4.286
7057,-15.7211,-72.7971,0.1307,312.777,51.0997,3.5099,29.923,76.2691,5.1947
7468,2.3665,40.9529,0.4436,222.206,19.0625,2.6048,10.5065,25.7563,10.896
14927,-9.8045,7.0156,0.1839,243.1062,10.0263,3.0958,18.7924,48.1845,80.6581
13843,-28.164,23.6759,0.3141,234.6044,25.0272,2.7462,23.1352,30.8021,78.0385
11449,16.8807,36.8669,0.4039,132.624,34.9099,2.6875,17.3787,39.6726,18.0418
15309,20.9173,-98.3865,0.1996,257.7743,-18.4049,2.9562,47.1696,114.12,49.6844
